asset_a,asset_b,abs_return_corr,return_corr,alpha,hedge_ratio,eg_stat,eg_pvalue,residual_adf_stat,residual_adf_pvalue,residual_adf_lag,asset_a_level_adf_pvalue,asset_a_diff_adf_pvalue,asset_b_level_adf_pvalue,asset_b_diff_adf_pvalue,asset_a_plausibly_i1,asset_b_plausibly_i1,estimated_half_life_days,eg_fdr_pvalue,eg_fdr_reject,passes_corr,passes_eg,passes_residual_adf,passes_i1,passes_all,screen_score
CVX,XOM,0.8044870825224366,0.8044870825224366,0.8832466681373622,0.8874740891498825,-5.271622332792588,5.0572519115802315e-05,-5.271622332792609,3.0543238069157716e-07,0,0.053285695046682686,0.0,0.2505345240250837,0.0,True,True,11.526146463232518,0.002275763360211104,True,True,True,True,True,True,0.688542827795572
KO,PEP,0.868713067802737,0.868713067802737,-0.5236536747172471,0.9001482836237689,-4.002425588502182,0.0071243269970922085,-4.002425588502651,7.257152469566241e-05,0,0.11592222417560832,0.0,0.10386591958506214,0.0,True,True,19.10406092686721,0.08014867871728734,True,True,True,True,True,True,0.6536133406139396
BAC,JPM,0.7302538794150818,0.7302538794150818,-0.8387536610147781,0.8815650314741503,-4.7276323639379925,0.0005051172153775616,-4.727632363937975,3.5417949049199094e-06,2,0.23513999600412278,0.0,0.4946242529080639,0.0,True,True,12.655513615302352,0.011365137345995136,True,True,True,True,True,True,0.6002884936992787
BAC,KO,0.6360715243699675,0.6360715243699675,-1.824090096514221,1.3129092829069227,-4.0887813361784,0.00534359831298429,-4.088781336178182,5.14984832322579e-05,0,0.23513999600412278,0.0,0.11592222417560832,0.0,True,True,18.397291984025586,0.08014867871728734,True,True,True,True,True,True,0.42804370121787894
PEP,SPY,0.7875228058101896,0.7875228058101896,0.1847077966638223,0.8022502711180189,-3.7642556379265346,0.01511718512314632,-3.7642556379264422,0.000182247682172271,1,0.10386591958506214,0.0,0.2874438991629003,0.0,True,True,22.449597212407106,0.13605466610831687,False,True,True,True,True,False,0.5221739843171891
KO,SPY,0.9120662238116688,0.9120662238116688,-0.9724976245860975,0.820663891033057,-3.131661715816295,0.0821189217885821,-3.131661715815214,0.0017318651543341795,4,0.11592222417560832,0.0,0.2874438991629003,0.0,True,True,35.44690605716338,0.28425780619124574,False,True,True,True,True,False,0.4719734483517945
AAPL,QQQ,0.9520030449948904,0.9520030449948904,-0.08472399394135532,0.8811917013900096,-2.7797188407988296,0.17222308339406195,-2.779718840798973,0.005305658683014663,2,0.22790812840997599,0.0,0.29851815549832406,0.0,True,True,37.42790584061439,0.4392760118784403,False,True,False,True,True,False,0.4448800512886114
CVX,SPY,0.7277463781360378,0.7277463781360378,1.2213110022742808,0.6108128233707606,-3.5278900584693034,0.03000179616682689,-3.5278900584706685,0.00043739570907199896,0,0.053285695046682686,0.0,0.2874438991629003,0.0,True,True,27.474990556637376,0.19432579335253708,False,True,True,True,True,False,0.3946112554220886
BAC,SPY,0.6635667410208975,0.6635667410208975,-3.6816035688657123,1.1704678370729908,-3.5130090085148105,0.03125946217419353,-3.5130090085131074,0.00046156782797778157,1,0.23513999600412278,0.0,0.2874438991629003,0.0,True,True,21.417640552327168,0.19432579335253708,False,True,True,True,True,False,0.3910002839262692
CVX,JPM,0.695143321569904,0.695143321569904,3.5436539783543664,0.2944367538237447,-3.4414488271689807,0.037950903037136795,-3.441448827171548,0.00059648270906965,2,0.053285695046682686,0.0,0.4946242529080639,0.0,True,True,29.515346211586575,0.19432579335253708,False,True,True,True,True,False,0.3415728249064632
