date,accept_signal,signal_direction,realized_holding_days,realized_gross_return,realized_net_return,label_exit_reason
2018-06-21,0,-1.0,10,0.0011051014734260178,-9.489852657398206e-05,horizon
2018-06-22,1,-1.0,10,0.02005007884506238,0.01885007884506238,convergence
2018-06-25,1,-1.0,9,0.023511367778522363,0.022311367778522363,convergence
2018-06-26,1,-1.0,8,0.029178876706804857,0.027978876706804857,convergence
2018-06-27,1,-1.0,7,0.03890605137934422,0.03770605137934422,convergence
2018-06-28,1,-1.0,6,0.028398229294804622,0.027198229294804623,convergence
2018-06-29,1,-1.0,5,0.029495102148968222,0.028295102148968222,convergence
2018-07-02,1,-1.0,4,0.01447232210657834,0.01327232210657834,convergence
2018-07-23,1,1.0,9,0.019312141799380456,0.018112141799380456,convergence
2018-08-16,0,-1.0,10,0.0005976018532516392,-0.0006023981467483607,horizon
2018-08-17,0,-1.0,10,0.007172432885192315,0.005972432885192315,horizon
2018-08-20,0,-1.0,10,-0.0005831839674330652,-0.0017831839674330651,horizon
2018-08-21,1,-1.0,10,0.007185403325487449,0.00598540332548745,convergence
2018-09-19,0,1.0,10,0.004183487729353175,0.002983487729353175,horizon
2018-09-20,0,1.0,10,0.014657310970131121,0.013457310970131121,horizon
2018-09-21,0,1.0,10,0.0032333200768084325,0.002033320076808433,horizon
2018-10-15,1,1.0,1,0.007844613626091679,0.006644613626091679,convergence
2018-10-30,0,-1.0,1,0.0011207227412901588,-7.927725870984109e-05,convergence
2018-11-06,0,1.0,10,-0.007240861633518669,-0.008440861633518669,horizon
2018-11-07,0,1.0,10,-0.009279275664345832,-0.010479275664345832,horizon
2018-11-08,0,1.0,10,-0.013798871949169289,-0.014998871949169289,horizon
2018-11-09,0,1.0,10,-0.0065234047356810265,-0.007723404735681026,horizon
2018-11-12,0,1.0,10,-0.0019423378753682385,-0.0031423378753682382,horizon
2018-11-13,0,1.0,10,-0.01096628443111669,-0.01216628443111669,horizon
2018-11-14,0,1.0,10,0.000507562924430438,-0.0006924370755695618,horizon
2018-11-15,0,1.0,10,-0.0111784398486785,-0.0123784398486785,horizon
2018-11-16,0,1.0,10,-0.023592537558212,-0.024792537558212,horizon
2018-11-28,0,1.0,10,0.00044987254727679726,-0.0007501274527232026,convergence
2018-11-30,1,1.0,8,0.016229338306095187,0.015029338306095187,convergence
2018-12-03,1,1.0,7,0.020801322122951937,0.019601322122951938,convergence
2018-12-04,1,1.0,6,0.02215661539547842,0.02095661539547842,convergence
2018-12-05,1,1.0,5,0.01503964729086782,0.01383964729086782,convergence
2018-12-24,0,-1.0,10,-0.009043567971287025,-0.010243567971287025,horizon
2018-12-26,0,-1.0,10,-0.0029239400998353204,-0.00412394009983532,horizon
2018-12-31,0,-1.0,10,0.0019463725332249382,0.0007463725332249383,horizon
2019-01-01,0,-1.0,10,-0.009681616246022706,-0.010881616246022706,horizon
2019-01-02,0,-1.0,10,-0.003819728184034865,-0.005019728184034865,horizon
2019-01-03,0,-1.0,10,-0.011994026427180948,-0.013194026427180948,horizon
