,KO,PEP,XOM,CVX,MSFT,AAPL,JPM,BAC
2023-01-20,80.3269,80.3805,90.4549,90.904,99.6433,99.9862,111.2646,111.8339
2023-01-23,79.697,80.3716,89.762,89.8862,98.748,99.5359,110.3713,111.2975
2023-01-24,80.1704,80.2749,89.8707,90.3639,99.87,100.3508,110.4511,110.6324
2023-01-25,81.1885,81.827,90.4538,90.6495,100.8069,101.316,111.8094,112.0638
2023-01-26,79.6619,79.9441,89.171,89.9539,98.9305,99.3671,109.7718,110.167
2023-01-27,78.9227,79.745,88.9535,90.0356,96.839,97.8181,108.5107,109.1674
2023-01-30,79.0591,79.6624,88.1883,88.7807,96.8938,97.1509,108.7533,109.339
2023-01-31,78.5525,78.7251,87.9065,88.2415,97.167,97.4489,108.6545,109.2667
2023-02-01,78.5833,78.7918,87.7672,87.5579,96.4252,96.505,108.6653,108.7846
2023-02-02,77.9073,78.4766,87.0292,87.0393,95.6258,96.266,107.6681,108.2745
2023-02-03,78.0484,78.4617,88.1207,88.9507,96.2716,96.5457,110.2326,110.3172
2023-02-06,78.3844,78.8434,89.4492,89.518,96.5215,96.797,111.9255,112.0921
2023-02-07,78.6267,79.4064,89.3481,89.605,96.6936,97.026,112.4125,113.2536
2023-02-08,79.2989,79.5853,90.7219,91.203,98.3657,98.8235,113.6117,113.3638
2023-02-09,79.918,80.3599,91.9641,92.5967,99.4611,99.5131,113.4644,113.7312
2023-02-10,79.5209,80.1648,91.0522,91.1849,98.0213,97.8141,113.3666,113.186
2023-02-13,80.2617,80.8578,91.5899,91.6125,97.3783,98.0438,113.9355,114.1843
2023-02-14,79.8747,80.2054,91.0726,91.1776,96.4776,96.46,112.6103,113.247
2023-02-15,80.9412,81.2365,91.5465,91.4584,97.2376,98.0197,113.0365,113.4012
2023-02-16,80.4256,80.384,91.2731,91.2064,98.0338,98.9704,111.8543,112.1947
2023-02-17,79.8811,80.0457,91.2254,91.4451,98.8719,99.1848,112.319,113.0192
2023-02-20,79.3347,79.8492,90.2087,90.4152,99.6928,100.3054,112.2512,112.5253
2023-02-21,80.4673,80.8139,91.1842,91.9405,100.3459,100.6073,113.5589,114.0285
2023-02-22,80.3466,80.7643,90.9695,91.2507,100.6665,101.3176,113.6951,114.0341
2023-02-23,79.8699,80.5206,90.9553,91.4043,100.8521,100.867,112.8132,111.9464
2023-02-24,80.2014,80.2913,90.9517,90.7525,100.8156,100.1328,111.3729,111.5594
2023-02-27,80.7114,81.0074,91.1381,91.3792,101.3709,101.3698,111.2596,111.1661
2023-02-28,81.3641,81.7211,91.4137,91.3529,102.2005,102.7305,111.4033,111.5033
2023-03-01,81.4804,81.6884,92.3438,92.5325,102.8958,103.0017,110.9674,111.9053
2023-03-02,81.797,82.5183,93.6251,93.8432,103.2601,103.0959,111.624,111.8905
