date,KO,PEP,XOM,CVX,JPM,BAC,MSFT,AAPL,SPY,QQQ
2018-01-01,60.4654,170.0,110.2961,160.0,145.5658,35.0,381.3712,190.1768,500.932,431.0938
2018-01-02,60.4374,170.7225,109.6886,159.6916,144.6312,34.5809,378.6091,189.1393,496.8846,428.344
2018-01-03,60.532,169.4771,110.2108,161.1858,144.7577,34.5057,381.7268,190.464,499.5756,431.3806
2018-01-04,61.1167,170.2876,110.9415,162.2272,145.4503,34.7468,384.2953,192.0251,502.8282,434.4573
2018-01-05,60.3193,167.5426,109.5181,159.3313,144.3753,34.4789,377.9224,189.6335,497.1099,430.1931
2018-01-08,59.8602,165.2099,107.8966,156.0785,143.5108,33.8923,374.8949,187.5627,492.6002,425.6541
2018-01-09,59.5829,164.2394,108.2053,156.0149,143.348,33.8717,376.4153,188.192,493.0686,428.347
2018-01-10,59.598,164.034,107.8699,157.0353,142.7892,33.6051,376.4047,188.1991,492.599,428.646
2018-01-11,59.7423,165.2228,107.7974,156.6048,142.7063,33.8511,374.8442,187.5788,491.8956,428.3614
2018-01-12,59.4206,164.3707,107.4296,156.0904,141.7682,33.8534,373.1793,186.0833,489.9123,426.2563
2018-01-15,59.7407,165.2451,107.5688,157.362,142.6308,33.5788,375.4052,186.5872,492.8629,429.2052
2018-01-16,59.8471,165.4069,107.8695,157.8272,143.6284,33.9824,376.1965,187.3666,494.7016,429.4838
2018-01-17,60.0075,165.2804,107.9833,157.2324,143.614,34.0731,376.4335,188.0868,494.2793,428.5273
2018-01-18,60.4454,167.2447,108.9952,159.1211,144.8171,34.0405,380.3673,189.5164,497.9678,431.5654
2018-01-19,60.3646,167.9413,109.435,159.2529,146.0952,34.5238,379.8328,189.6219,499.1475,430.5146
2018-01-22,60.1841,166.7005,108.7367,158.3536,144.948,34.0262,375.8157,187.4042,497.147,427.4242
2018-01-23,60.6877,169.3249,109.2086,159.2971,145.3599,34.3784,375.613,187.0376,498.2428,426.3189
2018-01-24,60.3165,167.8834,108.5455,157.81,145.0296,34.1871,372.3868,185.9273,495.5418,422.6407
2018-01-25,60.4518,167.8409,109.3652,159.001,145.7307,34.0476,373.8982,187.2413,497.8507,426.8717
2018-01-26,60.6604,168.8451,109.4395,160.2578,145.2277,34.4103,373.6003,186.969,497.812,425.8025
2018-01-29,60.4664,168.753,109.0243,158.9849,145.5852,34.1798,374.2946,187.4921,498.3709,426.0548
2018-01-30,60.1318,167.8163,108.5188,159.1606,144.0614,33.7138,372.9732,187.2615,496.1995,424.7278
2018-01-31,60.4055,168.4255,109.383,159.7411,145.3942,33.9107,376.7863,188.9684,499.7687,429.5791
2018-02-01,60.3876,169.2357,109.3401,160.9647,145.0791,33.7897,375.8266,189.7588,498.5796,429.9962
2018-02-02,60.2662,168.5074,109.1791,159.8298,144.7222,33.897,373.8744,188.0846,497.3176,426.8082
2018-02-05,60.1213,168.1002,109.1619,159.315,144.7838,33.9541,373.1949,187.4924,497.6596,426.5329
2018-02-06,60.3405,169.9252,109.6013,160.999,144.9652,34.2286,373.8951,187.6052,498.1792,426.3753
2018-02-07,60.5321,169.5767,109.9554,162.5622,145.6397,34.4689,375.7561,188.5822,499.4538,427.4249
2018-02-08,60.7444,169.9134,109.9353,162.9465,146.4586,34.3129,375.2212,188.5819,499.2973,427.6114
2018-02-09,60.8304,170.9099,110.0571,161.9733,147.7302,34.7316,377.9432,189.4646,500.4244,428.4897
2018-02-12,61.7597,173.9663,112.0102,164.6356,149.2898,35.1408,381.7008,192.8278,507.8245,434.9898
2018-02-13,61.6955,174.4166,112.0213,164.4377,148.935,34.9515,381.6626,192.7098,504.7958,434.9759
2018-02-14,61.3484,172.4908,111.1326,162.26,148.7043,35.3638,378.2499,191.0444,502.7128,431.7928
2018-02-15,60.8421,171.2809,110.8923,162.319,148.6394,35.4784,374.8246,190.5678,500.5854,428.6806
2018-02-16,61.169,172.0369,111.6961,162.6577,148.7851,35.7041,378.7696,192.0231,502.9034,430.7894
2018-02-19,61.6013,174.8799,112.1909,162.1693,149.2621,36.0014,381.3118,194.7327,507.2284,436.9254
2018-02-20,61.3739,174.7506,112.1674,160.738,148.7827,35.7758,382.106,195.6568,505.7058,437.519
2018-02-21,61.0447,173.7248,111.6348,161.3389,148.3953,35.8037,380.7233,193.936,503.5041,434.8627
2018-02-22,60.7835,173.1132,111.4642,160.5993,148.198,35.7992,380.298,193.9973,500.1852,434.6616
2018-02-23,60.769,173.0521,111.284,159.8882,149.2227,35.8759,381.8541,193.9888,503.3269,435.1248
2018-02-26,60.9412,173.9821,111.7524,159.6784,149.3755,35.6251,386.3805,195.7027,502.9656,438.8776
2018-02-27,61.5912,175.2017,112.3704,161.6404,149.8258,35.7224,387.5062,196.2723,504.4932,438.5522
2018-02-28,61.325,175.3364,112.5614,160.7417,149.9311,35.8649,385.9622,196.2327,502.5849,435.8028
2018-03-01,61.1903,173.9394,112.2323,159.3171,150.2447,35.9241,384.0091,195.2586,505.0851,434.2718
2018-03-02,61.281,174.3009,111.8977,158.6373,151.4692,36.1409,383.6835,195.1925,505.7114,434.9376
2018-03-05,61.2021,173.4514,111.5566,158.1969,151.0447,36.0437,385.403,195.3777,506.7888,436.3005
2018-03-06,61.6978,174.8881,112.306,159.8132,151.6803,36.1113,386.2964,196.2719,510.2572,437.1828
2018-03-07,61.8452,175.9819,112.2679,159.2449,151.4974,36.4023,387.8265,197.2235,512.9455,438.3157
2018-03-08,62.4063,176.348,112.8967,161.4076,153.0809,36.7874,391.0404,198.2063,514.7957,440.8539
2018-03-09,62.4631,176.3862,112.795,160.7159,153.4956,36.7454,390.6812,198.3549,513.2318,441.9416
2018-03-12,62.7456,176.1808,112.9973,160.2023,154.4476,36.5374,389.8858,198.7802,512.3199,441.803
2018-03-13,63.361,177.779,113.3468,159.8531,155.0271,36.6242,391.7744,199.4263,515.3817,440.8535
2018-03-14,63.0464,175.9006,112.2073,157.7525,154.0431,36.2906,387.411,196.7144,510.9361,436.8285
2018-03-15,63.1329,176.3347,112.6024,157.4839,153.2649,36.0017,384.7862,196.3889,509.724,436.8768
2018-03-16,63.0467,175.8563,112.0411,157.4495,152.5214,36.0635,383.105,196.1553,507.6263,436.4068
2018-03-19,62.702,175.4741,111.3788,155.8674,151.944,35.962,380.8999,194.8746,505.8743,431.7035
2018-03-20,62.7573,176.5517,110.8234,155.1434,151.6306,35.5387,381.9306,195.0129,505.3764,433.0837
2018-03-21,63.6207,179.0597,112.2201,156.3931,154.0201,36.2132,386.0718,196.8129,511.0123,437.4616
2018-03-22,63.0988,178.2187,111.986,155.3284,152.8767,35.6424,388.371,196.9057,507.0023,437.2217
2018-03-23,63.4783,180.3045,112.4379,157.0124,154.1879,36.1078,387.5379,198.6311,508.2167,439.0342
2018-03-26,62.6609,177.2455,111.3718,156.961,152.7617,35.7227,383.812,196.8957,501.7205,435.4437
2018-03-27,62.7588,178.5383,111.292,157.9424,152.1143,35.6302,384.4331,196.5616,499.022,436.2273
2018-03-28,62.9081,178.8975,111.8691,157.6252,152.153,35.659,385.9912,198.5069,497.8595,439.5826
2018-03-29,63.2316,179.0888,112.8199,157.9768,153.3385,35.9074,387.69,199.6582,502.0314,441.0602
2018-03-30,63.5162,180.1068,113.6527,160.8412,154.131,36.1488,390.3526,199.9119,501.542,444.0117
2018-04-02,63.5695,180.1833,113.4333,160.3947,155.6879,36.5243,392.5635,200.6849,504.9019,448.026
2018-04-03,63.074,177.7248,113.1361,158.9545,155.3367,36.8794,391.2322,199.7176,505.1643,445.9805
2018-04-04,62.5242,175.3836,112.6363,159.2389,155.4142,36.9417,391.4848,200.0106,505.2468,444.1216
2018-04-05,62.5773,176.7287,112.9608,159.8126,156.1314,37.1469,396.3251,200.9693,508.5784,449.0692
2018-04-06,62.3942,176.3958,113.3231,160.837,156.3788,37.0337,396.6594,200.9853,509.7577,449.8964
2018-04-09,61.9971,176.2837,112.5204,157.9842,155.17,36.8543,393.5458,200.1055,508.0172,448.0927
2018-04-10,61.7265,175.1617,112.0565,157.2072,154.245,36.423,393.9186,197.8542,504.1108,446.684
2018-04-11,61.4209,173.6864,110.9322,156.5252,153.9727,36.6236,390.4055,196.258,501.7537,442.2806
2018-04-12,61.6312,173.1113,110.7624,155.8751,154.6373,36.4366,392.985,197.6029,505.0169,444.2326
2018-04-13,61.4515,173.2952,110.8374,157.0484,154.6148,36.2595,391.9004,196.9085,504.6526,442.9232
2018-04-16,61.9404,174.9932,110.8581,156.1015,154.5564,35.9153,393.2842,197.0334,506.7903,444.5448
2018-04-17,61.6675,173.9176,110.8207,156.0609,154.0474,35.9359,394.8369,197.4009,504.9016,444.6843
2018-04-18,61.9435,174.1632,111.3649,158.2066,154.8986,36.0589,393.6408,196.5178,506.0068,444.976
2018-04-19,62.1503,175.5696,112.1554,158.4297,155.8553,36.4491,394.0199,196.8478,506.4406,448.3237
2018-04-20,62.0666,175.1998,111.5224,157.8432,154.8555,36.0477,394.1152,197.2216,506.8289,447.8349
2018-04-23,62.0317,174.9825,112.0884,159.1562,156.1085,36.4679,393.9655,196.9476,508.917,448.2186
2018-04-24,61.7558,173.7746,112.0894,159.2699,155.4326,36.4768,391.2339,196.2213,507.3588,446.1418
2018-04-25,61.7488,173.49,112.0333,159.0273,155.1588,36.483,391.8241,196.5353,504.4411,447.1381
2018-04-26,61.3336,172.7071,111.7712,158.0105,154.9515,36.4604,392.0134,196.2237,502.3839,445.4337
2018-04-27,60.9097,170.5341,110.3969,156.3298,154.065,36.3125,387.4932,193.7793,499.9563,440.5963
2018-04-30,61.2036,171.4754,110.7352,156.7791,155.0469,36.3381,388.5958,195.0066,501.5163,442.3659
2018-05-01,60.8275,171.0963,110.4634,155.3433,155.3759,36.1968,386.4131,194.6879,498.6508,439.5808
2018-05-02,60.8123,171.0135,110.6757,156.6029,155.0305,36.2745,387.9881,195.4717,499.0122,442.3361
2018-05-03,61.4651,173.6372,110.3927,155.5661,155.2246,36.2613,387.8761,196.0173,501.1902,443.5104
2018-05-04,61.9127,175.8614,110.6097,154.8638,155.367,36.4192,390.4056,197.4076,503.1075,445.7151
2018-05-07,62.2684,177.4932,111.2601,155.4316,156.2776,36.9796,394.7334,199.3964,505.3417,449.7429
2018-05-08,62.2465,176.9887,111.0668,154.6285,155.6078,36.7345,393.405,199.2268,505.8027,448.2274
2018-05-09,61.8322,175.7177,110.5254,153.867,155.054,36.4897,392.2689,198.4466,504.1033,445.9459
2018-05-10,61.6839,175.4886,110.061,152.4595,154.6493,36.3451,392.4299,198.5296,504.273,446.6934
2018-05-11,61.1261,173.4953,108.8152,151.3145,153.3067,36.0799,387.0989,195.8034,498.9972,441.2632
2018-05-14,60.4852,171.2603,107.8276,151.1913,151.9678,35.9374,383.9514,194.3003,494.422,437.4798
2018-05-15,60.0054,169.471,106.6605,149.7938,150.4704,35.6126,380.3316,192.5326,490.1812,433.5902
2018-05-16,59.6129,170.0544,106.1133,148.0847,149.5545,35.8647,377.4191,191.0804,486.9878,430.6792
2018-05-17,59.6114,169.7983,106.4399,148.0141,150.0621,36.0497,377.951,191.9765,488.4034,432.0877
2018-05-18,59.0704,168.8889,105.4318,146.9836,149.011,35.9637,375.9501,191.2993,485.5374,429.1833
2018-05-21,58.9468,167.8624,105.0704,145.22,148.486,35.8093,375.809,190.8971,484.9251,428.7147
2018-05-22,59.31,170.0127,106.2471,146.1335,149.5776,36.2429,378.8157,191.8987,488.8163,431.0733
2018-05-23,59.1314,169.1377,106.2456,145.1835,149.043,36.0407,378.1599,191.6541,488.7682,429.8979
2018-05-24,59.2286,169.3728,106.5237,145.9348,149.3479,35.9355,379.6317,192.6801,490.885,431.3571
2018-05-25,58.99,167.3631,106.0169,147.1133,148.2451,35.8615,377.7831,191.645,488.5889,428.1729
2018-05-28,58.8263,167.6008,105.7014,145.9566,147.8703,35.7323,376.408,191.2363,488.6645,427.1888
2018-05-29,58.4674,167.3878,105.1571,146.0412,146.7686,35.5087,374.9032,190.0874,485.9093,425.0485
2018-05-30,58.3938,166.2914,105.1345,145.7892,146.3396,35.5904,373.0097,188.6733,485.0222,422.1413
2018-05-31,58.8373,168.31,105.7322,145.8367,147.284,35.7895,374.6164,189.5271,487.3761,423.2453
2018-06-01,58.1829,165.4297,104.6733,145.773,145.4659,35.3103,371.0137,187.2239,481.7835,418.4325
2018-06-04,58.5605,166.8964,104.9191,147.8696,145.8467,35.2451,370.9876,187.4633,483.4158,418.893
2018-06-05,58.7835,167.2887,105.1932,148.6494,145.9759,35.4705,373.2963,188.6699,484.2653,422.2861
2018-06-06,58.6853,167.8445,104.9638,148.6783,145.0834,35.1595,371.4776,187.7107,483.401,420.9267
2018-06-07,58.1449,166.351,103.5006,146.7537,143.3619,34.7321,368.3223,186.552,478.7057,416.9615
2018-06-08,58.1415,166.8758,103.8304,147.1593,143.3826,34.7663,368.264,186.6197,478.7603,415.8135
2018-06-11,57.9772,167.1154,102.8998,146.1732,142.5269,34.6022,367.1086,186.1188,476.0693,413.5468
2018-06-12,58.2292,167.5304,103.0823,146.9681,142.8066,34.8427,366.2915,185.9576,477.3274,413.0618
2018-06-13,58.3277,167.6805,103.4157,148.6859,143.3443,34.9053,366.1137,185.6478,477.7685,413.3428
2018-06-14,58.9822,168.7324,104.5749,149.8905,145.326,35.6011,369.1912,187.0625,483.3273,416.3391
2018-06-15,58.9287,168.2893,104.3277,149.6217,144.8719,35.3911,368.3913,186.4405,483.137,415.5832
2018-06-18,58.6231,168.6196,103.498,148.3697,144.0507,35.2364,363.0578,183.9609,480.4322,409.9413
2018-06-19,58.8395,169.6485,103.8356,149.5915,144.6168,35.2746,361.9207,183.6931,481.4278,409.4661
2018-06-20,59.0104,169.3096,103.6348,151.0599,144.5996,35.6707,363.8688,184.7848,482.4721,412.1253
2018-06-21,59.611,172.0831,104.8671,153.4988,146.2667,35.9047,367.6655,187.0753,487.1582,416.147
2018-06-22,59.9001,173.063,105.5031,154.8643,146.9849,35.95,370.9031,188.6282,489.257,420.4047
2018-06-25,60.2398,174.4966,105.6325,155.5704,146.9419,35.911,373.1994,189.7421,490.1194,423.2236
2018-06-26,60.8127,176.3722,106.4034,157.4675,148.4364,36.1362,377.5349,192.0277,494.4551,428.0155
2018-06-27,60.4676,175.477,105.5125,157.8246,147.4427,35.9349,374.0847,190.4066,491.2697,424.1561
2018-06-28,60.2929,173.3961,105.4663,156.1142,146.9068,36.0321,372.2711,188.9094,489.0429,421.3118
2018-06-29,59.9416,173.014,105.0876,155.7874,145.9837,35.796,370.8617,188.6693,485.9409,420.043
2018-07-02,59.8301,170.9979,104.5406,152.7554,145.3521,35.6354,370.5785,188.5923,484.8542,418.7644
2018-07-03,59.3036,170.0748,103.5296,151.8802,144.3378,35.3019,369.911,188.3611,480.0973,417.7868
2018-07-04,59.9567,171.9529,103.7987,152.5119,144.8483,35.2593,370.9353,188.7306,482.386,418.7921
2018-07-05,59.8686,172.17,104.0382,152.2532,144.499,35.16,372.7953,189.5908,480.7388,421.2311
2018-07-06,59.2085,170.2266,102.8508,148.3988,143.3249,34.8587,369.047,187.8258,475.7803,417.1971
2018-07-09,58.8804,169.858,102.621,148.0045,142.0661,34.7834,367.8253,187.2997,472.8815,417.0316
