date,KO,PEP,XOM,CVX,JPM,BAC,MSFT,AAPL,SPY,QQQ
2021-01-01,60.4817,169.86,110.4217,159.3806,145.8441,34.5204,380.3344,190.5394,501.9674,430.7213
2021-01-04,60.0561,167.9018,109.8442,157.9613,145.0502,34.3089,378.4843,189.8208,500.1184,429.5929
2021-01-05,60.205,167.8205,110.1951,158.169,144.7831,34.1737,381.8353,189.7836,504.2245,431.5555
2021-01-06,61.1713,170.7082,111.9231,160.4332,147.0382,35.0832,385.542,190.618,514.0313,431.932
2021-01-07,60.4639,167.3419,110.2561,157.5081,144.9147,34.5584,380.6327,187.4888,506.7685,428.3654
2021-01-08,60.7839,168.1668,110.7032,157.8394,145.7403,34.9149,379.4061,183.6676,510.983,421.1541
2021-01-11,60.5794,168.3719,110.5234,158.7053,145.4953,34.3712,379.0439,184.1413,510.2198,421.8727
2021-01-12,60.0645,166.3788,109.663,156.2899,144.0715,33.9559,376.4196,183.8861,506.8078,421.5803
2021-01-13,59.9533,165.1499,109.4714,154.3799,143.7912,33.6644,376.3647,184.9093,508.2207,422.2117
2021-01-14,59.2718,163.1815,108.1526,153.5728,141.8875,33.9058,372.4476,185.2626,504.4508,422.3025
2021-01-15,59.6304,163.9469,108.2514,153.5402,142.4582,33.8542,373.9843,184.942,505.2272,420.478
2021-01-18,59.8314,164.1082,108.7303,153.8811,142.4174,33.8649,374.9718,184.1743,510.3352,417.9403
2021-01-19,59.8177,163.2926,109.4006,154.7548,142.7975,33.9851,376.4583,185.136,514.0506,419.5539
2021-01-20,59.9965,164.1213,109.705,155.3935,143.8026,33.78,378.2202,187.1857,515.4364,422.9769
2021-01-21,60.5509,166.0326,110.4653,156.0115,145.0469,33.9146,383.1844,187.7062,519.7283,424.5656
2021-01-22,60.6919,165.7113,110.9021,157.1232,145.496,34.1247,382.3499,185.8751,517.4486,419.1558
2021-01-25,61.3824,166.9762,111.8838,157.6431,146.394,34.3483,385.949,187.4507,522.6078,422.5749
2021-01-26,61.3739,167.0443,111.4846,156.7796,145.3526,33.4941,383.8777,187.3919,519.9728,422.0608
2021-01-27,61.8485,167.6875,112.6119,156.3217,147.9425,33.9066,387.7636,189.2171,526.583,426.923
2021-01-28,61.3778,166.5304,111.6886,156.0957,146.5439,33.8775,384.8172,188.8727,524.2808,426.7187
2021-01-29,61.1751,166.958,111.6546,155.882,146.2268,33.9674,383.9249,186.138,525.3534,420.8247
2021-02-01,60.7959,165.8832,110.9695,155.5209,144.4635,33.9069,380.0023,187.2203,518.5196,422.4693
2021-02-02,61.2275,166.2519,112.0508,157.5319,145.7887,33.9337,383.1744,189.8673,523.6484,429.2359
2021-02-03,61.0064,165.9115,111.6702,157.4995,144.8463,34.0727,381.2813,190.8181,522.9024,430.8258
2021-02-04,60.8353,165.3286,111.1844,156.7865,144.7391,34.0366,379.6931,189.6081,520.8931,427.5183
2021-02-05,61.472,166.9588,111.8615,158.138,146.7778,34.9341,381.6546,189.3456,525.287,430.0512
2021-02-08,61.4669,167.2626,112.4681,158.1068,147.3543,35.0653,382.6298,190.7503,527.1844,433.3554
2021-02-09,61.7716,168.557,113.2249,158.0879,147.8654,34.6093,384.2208,192.7467,528.1726,438.2579
2021-02-10,61.6443,168.2335,113.1547,157.8911,146.8097,34.6089,383.9245,192.7562,527.2703,435.4806
2021-02-11,61.9153,168.932,113.568,157.84,146.9267,34.5124,385.432,193.0133,529.3771,436.8786
2021-02-12,62.8915,173.0179,115.148,161.4775,149.4567,34.9713,391.1917,196.64,537.1784,444.7225
2021-02-15,63.0276,174.2269,114.9421,161.5433,149.2198,34.5151,390.8924,195.8075,536.6542,443.5807
2021-02-16,63.1032,175.0184,115.3725,161.4709,149.4967,35.0276,391.9451,195.5659,536.8949,438.6547
2021-02-17,63.4595,176.0991,115.6916,161.6672,150.2644,35.052,395.2589,195.1288,538.8244,437.6836
2021-02-18,64.0506,177.0258,116.1181,162.4107,151.721,35.8232,399.727,196.9078,543.3022,439.8143
2021-02-19,64.5088,179.0981,116.9958,163.6085,153.3055,36.054,403.1579,198.3175,549.169,441.3221
2021-02-22,64.1721,178.266,115.9166,162.3187,152.2274,35.5482,399.9568,198.2767,547.4237,442.167
2021-02-23,63.9566,177.2578,115.1784,161.3204,151.4185,35.7441,396.8113,197.8624,543.5955,437.1828
2021-02-24,63.8833,176.8823,115.1298,159.9106,151.0363,35.6375,398.4721,197.1078,544.0302,440.3328
2021-02-25,64.2085,177.0971,115.8489,158.8757,152.1371,35.8659,401.6247,197.1772,548.4365,442.3714
2021-02-26,64.7303,179.293,116.7293,159.761,153.2288,35.742,404.3888,197.085,552.6039,443.0757
2021-03-01,65.0593,180.6974,117.7067,161.6818,154.6284,35.9204,410.2087,197.6601,556.1629,446.5479
2021-03-02,64.944,180.5081,117.675,161.2859,155.06,36.1393,409.6638,197.6699,557.5392,447.1203
2021-03-03,65.4683,181.9342,118.6067,163.8122,156.4264,36.065,413.4409,196.071,560.8682,445.0858
2021-03-04,65.7838,182.314,118.6338,163.8047,157.4036,36.1229,415.2342,194.8346,565.3971,441.6288
2021-03-05,65.6482,180.3946,118.6714,165.198,156.871,35.8859,414.4782,191.3315,565.6014,433.9842
2021-03-08,66.0195,180.3925,119.1343,167.0121,158.3619,36.229,419.1252,192.3583,571.0704,436.6486
2021-03-09,65.152,177.4941,117.6857,165.9643,156.016,36.1443,412.82,191.435,565.1648,436.2629
2021-03-10,65.7484,178.4801,118.227,165.5507,157.231,36.3244,416.9751,191.3285,570.2301,437.9814
2021-03-11,64.9945,176.6379,116.4113,162.9495,154.7192,35.5758,408.8097,193.0935,558.8542,439.4384
2021-03-12,64.2968,175.3099,115.529,162.8681,153.7132,36.1414,405.5915,192.515,556.0872,439.2288
2021-03-15,64.7804,176.5379,116.595,164.685,155.5992,36.4361,407.4262,193.5581,562.2843,442.8069
2021-03-16,64.2496,176.0809,115.6382,163.8372,154.9035,36.226,404.2318,191.3231,557.9282,438.0348
2021-03-17,63.9157,174.6182,114.5511,160.9055,154.1724,35.9605,400.7171,191.7292,556.6578,441.9878
2021-03-18,63.3219,172.9019,113.958,161.9008,153.5634,35.7463,395.2019,192.5484,553.8508,441.3802
2021-03-19,63.4588,173.2406,114.5714,162.0273,154.5534,35.9875,396.4045,191.8788,555.3679,438.754
2021-03-22,63.1023,173.0215,114.6648,160.2344,153.3275,35.9804,394.3156,191.8434,551.8589,438.7109
2021-03-23,64.4752,176.8607,117.2008,163.5407,157.2783,36.9799,403.8699,195.5588,563.7355,445.109
