step,scenario_001_calm,scenario_002_high_vol,scenario_003_jump,scenario_004_weak_mean_reversion,scenario_005_stress,scenario_006_calm,scenario_007_high_vol,scenario_008_jump,scenario_009_weak_mean_reversion,scenario_010_stress,scenario_011_calm,scenario_012_high_vol,scenario_013_jump,scenario_014_weak_mean_reversion,scenario_015_stress,scenario_016_calm,scenario_017_high_vol,scenario_018_jump,scenario_019_weak_mean_reversion,scenario_020_stress,scenario_021_calm,scenario_022_high_vol,scenario_023_jump,scenario_024_weak_mean_reversion,scenario_025_stress,scenario_026_calm,scenario_027_high_vol,scenario_028_jump,scenario_029_weak_mean_reversion,scenario_030_stress,scenario_031_calm,scenario_032_high_vol,scenario_033_jump,scenario_034_weak_mean_reversion,scenario_035_stress,scenario_036_calm,scenario_037_high_vol,scenario_038_jump,scenario_039_weak_mean_reversion,scenario_040_stress,scenario_041_calm,scenario_042_high_vol,scenario_043_jump,scenario_044_weak_mean_reversion,scenario_045_stress,scenario_046_calm,scenario_047_high_vol,scenario_048_jump,scenario_049_weak_mean_reversion,scenario_050_stress
0,1.6299241941686844,1.6321970823091125,1.6245707261741404,1.6281972638900435,1.6396600941425965,1.6302624056799322,1.6293668138629263,1.6379511334480217,1.6303330285602846,1.6267018947867669,1.6267599347465105,1.6329138693620315,1.624101317558997,1.6325195417051606,1.631714158116669,1.626007928375309,1.6288872608341105,1.6292373327537797,1.6247976095283432,1.6323615542765908,1.6335789876940177,1.629439054544555,1.6282077241565884,1.6164982995731787,1.6319289603920966,1.6315732869548587,1.6312307678917,1.6298803060848444,1.6306274632071598,1.6236116934511797,1.623573719993558,1.632394793950755,1.6227074692741414,1.6284943400753582,1.6296754760072039,1.6265949212916868,1.6242838781663862,1.6257729966272942,1.6290901906464168,1.625613278996271,1.6329492803347205,1.6355423985756237,1.6245222736939087,1.6291652615509735,1.6336209195768732,1.6263977574735151,1.625169422270959,1.629023235021369,1.6239840764870563,1.6242367316016082
1,1.6326682254913636,1.6202534017070027,1.6169033240851418,1.622726055276289,1.6359042883714263,1.6264560082128834,1.6396183638061075,1.6395512274084632,1.6286367877497456,1.6081106813776087,1.6213183896594445,1.6282172698835864,1.6090933100151055,1.6313947104923452,1.6208648528404483,1.6186693872927151,1.6232629537302323,1.6310801361964082,1.6278053457848491,1.6443943633800857,1.6287895110908044,1.6262243776936454,1.6266641515219566,1.616800881131688,1.6284228857830836,1.63323591788627,1.6317747993928278,1.6255542402904404,1.634340167381181,1.6401147092936068,1.628899542880128,1.6465260545103297,1.6294120993431225,1.6358534902007682,1.636439693338679,1.62492516143149,1.6269095071214876,1.6193789954785252,1.6239215864945444,1.6313317324718797,1.6284819839509308,1.6439275246145293,1.6240905017755674,1.6339151951395503,1.5888529460114817,1.6285473602121223,1.6213546257886173,1.6370296893374772,1.6277700382129536,1.6379021862793408
2,1.627258929069231,1.629404366301106,1.6140895975258618,1.6103010768364174,1.6565382537858055,1.6219756622400558,1.6517462199878448,1.6405620603000388,1.632592227137877,1.6019341743040172,1.6268700275667332,1.6106913221083365,1.6070095786163425,1.627866034285887,1.602323005784739,1.6154671096892894,1.6141864813363689,1.6368766628369784,1.6268351266167225,1.6520507961508397,1.634726078349986,1.6188243852143753,1.6236958804391535,1.6144865443576044,1.6204027578215672,1.631599161491832,1.6338105093390258,1.6402203309620296,1.6173254574294014,1.641611697804319,1.626164162379314,1.6484906486283228,1.6291389621532066,1.6382818638756156,1.6243758427224562,1.6255625916811394,1.6304177218070097,1.6286008229199251,1.627822470223343,1.6205630213071498,1.6277820063030204,1.6457499918344862,1.620292483143735,1.6191671497754985,1.5910111606492487,1.6307864783008696,1.6294406915262505,1.6341435748047977,1.623501869774206,1.6128208984783516
3,1.6273096616783078,1.630050135716703,1.608830202569754,1.6125642002494192,1.6510876323640788,1.621114480104273,1.643541673795897,1.635373385576186,1.6253283315293179,1.6062245314773953,1.6294877178570701,1.6169934536546584,1.6053753285173062,1.6308368300086107,1.6089393379466606,1.61581541793762,1.6192147432254231,1.638665207515364,1.635155810264849,1.6438737776621615,1.6303413191708676,1.608330200921437,1.626433199725066,1.6151998727759243,1.6103907693563015,1.6355655699269551,1.6321433015618165,1.6473435308801958,1.6156416950940573,1.6380567825996175,1.6261525002271213,1.6615653397409396,1.6146409942922297,1.6321776029350714,1.607755227187826,1.6340597052578372,1.6406954058119403,1.6306989856320626,1.6283629116138303,1.6310050020751272,1.6228768744255753,1.6330879726744953,1.6201107875150447,1.619511915869208,1.5633799690974466,1.6310259413698447,1.6269209796898254,1.6355991130403469,1.6306657186930797,1.5862385563307713
4,1.6304097804396118,1.6336566740983307,1.6119476693907118,1.6159210444662675,1.6477768689625623,1.6207898465033916,1.6474960986873348,1.6377002459945944,1.6250574810275566,1.6013693283983923,1.6293347339208728,1.6226818580736626,1.6025995237659436,1.6216753983164485,1.6077236714208645,1.6151032589122607,1.6298387379258918,1.6354581905727408,1.6219674527865806,1.6573678471835804,1.6334196950979685,1.602855618515451,1.6174945402059655,1.6104340670001513,1.6187800226859088,1.6349515149910032,1.633760367882138,1.6448500866492501,1.6086999746684718,1.6610428105122232,1.6283875200968274,1.6592293330299688,1.619234821460008,1.6340857341124477,1.6159357266187158,1.6308078937679935,1.6415019589541948,1.6281278953589324,1.629360765444471,1.6053386453037173,1.6221011094183484,1.6502064942238648,1.6274790530253893,1.6270880008783837,1.548939201342589,1.6236721143225832,1.627372169248012,1.6341344545787801,1.6292780328269232,1.5806235447468184
5,1.632019623743086,1.6333650520012297,1.606192412406407,1.6170025832587203,1.6436565894485178,1.621278807736925,1.6328355293094259,1.6511049504840454,1.6295000179874632,1.6059747354832592,1.6291645750004493,1.6213948781127816,1.615060281674903,1.6258140839411117,1.6196945797942401,1.6127948045156564,1.6389655266594298,1.630627796859612,1.6163299037119339,1.6450956966990613,1.6327948645088362,1.5965543563615658,1.6127092292850767,1.6091486950960794,1.6286008679807082,1.6346742184608636,1.6364782096553987,1.64250965304121,1.6109258515958458,1.6584610698318658,1.6244161378089788,1.6635544142738323,1.6213685973643028,1.6389574469763193,1.6253595727113745,1.6221418890041375,1.6294841812426055,1.6317107992935145,1.6273171493532825,1.5981954150588413,1.6227124275197158,1.6412619495609209,1.624115911210086,1.6269319260511808,1.557872796117707,1.6262313700169506,1.6296745842429454,1.631297820838762,1.631633803909799,1.5948632367498303
6,1.62799215754268,1.6477775317215333,1.6152579421062223,1.6214953731096735,1.6537883070113528,1.625604734713126,1.6327366456725263,1.6632482968994766,1.6273087653429459,1.6013801548023168,1.63326952905667,1.6163180794720315,1.6125917367353315,1.6204797429598858,1.6160422036594726,1.6129142334206774,1.6347270390511472,1.6215564816074255,1.614020043567599,1.6481269012360404,1.635206801223201,1.5988975564489312,1.62370438580351,1.6129449518002,1.631915460752489,1.6300510455327057,1.6299112984556308,1.6476583265461948,1.6116999152184046,1.641328849808788,1.626668983107082,1.6693857473965,1.631158617022693,1.6379118176795693,1.633803149086314,1.6263188634068164,1.628899869970863,1.6212194577898689,1.6308595729905626,1.5971420686312403,1.635220696867956,1.6430958969223048,1.6344628721844139,1.6331689137645244,1.5566851066426983,1.6297981464326148,1.6216112130919964,1.6367834964606045,1.6369522753994146,1.6071467565905668
7,1.6273265066492628,1.6397499940471676,1.6189783467907466,1.61193208050394,1.6644567076537868,1.6234116076211598,1.6414493330229898,1.6566030860526668,1.6267888351509308,1.6090440409324025,1.6259404199330132,1.6333764024807844,1.6045472872575974,1.6190355991428234,1.6265913457158243,1.617922605461704,1.6219266043305143,1.6329730929453807,1.6112096871167083,1.670801065286833,1.6359363726304426,1.6027172697074752,1.617051739029764,1.615782785558424,1.5520977212697813,1.627331264318353,1.6283472464778395,1.6357995592449348,1.6153422707149738,1.6506739490417635,1.6263826942594868,1.6736686336468503,1.6414333436682793,1.6382086467515509,1.647428689121074,1.6280141658345735,1.6385384704351547,1.6284276489478553,1.6276947472402392,1.600741398797945,1.6366624181274727,1.648038693777994,1.6324327734897592,1.630174494839286,1.5758268147663372,1.6223043545360099,1.6299049353957344,1.6473000474190493,1.6365853444677771,1.606864629462763
8,1.626841351754334,1.6421266031994641,1.6311022451217314,1.6156579431265248,1.6581202065736753,1.6280851968729246,1.6477482425769878,1.6616720587779081,1.630199263974945,1.6014389366898543,1.6289334218184452,1.6422149641989985,1.5959418012683506,1.6219292980578675,1.6254802012394935,1.615641368292893,1.6244726663115847,1.624032224063319,1.616466781002646,1.6979169800358416,1.6319956637167092,1.6092078393220615,1.6197742179993968,1.6239134312142,1.5692153971424947,1.6289776554802908,1.6193049273972133,1.6372679986782905,1.6147395648356442,1.63462171648218,1.6319448214302683,1.6694654317987347,1.6405977191893346,1.6313119845854673,1.5998186455219165,1.6234659004860514,1.6525689127935748,1.6285540390832316,1.630252185382694,1.6008467542147118,1.629724623895622,1.6498857046551874,1.6368736522867737,1.6328559138543262,1.5865307398479118,1.6171433146689176,1.6410059701876292,1.6459937039960337,1.6443129108907832,1.5985249538613149
9,1.629042841812748,1.6464759896493684,1.634093491488612,1.599750289530269,1.6331119768632756,1.6291435228422422,1.6490055543047837,1.660322668905943,1.6288716883750571,1.6057037291874119,1.636484825315868,1.6405314583927866,1.596664694316219,1.624524221693176,1.6397158066964828,1.6186024223532351,1.6276752415463323,1.6332964733008106,1.6078372972238169,1.6844740722018774,1.6299856725941035,1.6212605004747993,1.6129185250535443,1.6252991168145798,1.5631409263102614,1.6277135542238246,1.6322163409597088,1.6445112974128997,1.6189645608769034,1.6439675685339508,1.6353009515378645,1.6580160651735663,1.647714836933115,1.6323360051114713,1.6010820276866522,1.6237574956038539,1.6490609566321268,1.6333668097673824,1.625373812742379,1.591867048825013,1.6279273799019218,1.652227784390256,1.636559632945562,1.630785694574163,1.5921822189531003,1.6187250050581687,1.634868632221764,1.6449128480623507,1.6430954865556977,1.6148126012157762
