asset_a,asset_b,abs_return_corr,return_corr,alpha,hedge_ratio,eg_stat,eg_pvalue,residual_adf_stat,residual_adf_pvalue,residual_adf_lag,asset_a_level_adf_pvalue,asset_a_diff_adf_pvalue,asset_b_level_adf_pvalue,asset_b_diff_adf_pvalue,asset_a_plausibly_i1,asset_b_plausibly_i1,estimated_half_life_days,eg_fdr_pvalue,eg_fdr_reject,passes_corr,passes_eg,passes_residual_adf,passes_i1,passes_all,screen_score
CVX,XOM,0.8399594029563848,0.8399594029563848,2.050526017837353,0.61003074868916,-1.787111779546531,0.6359610075260702,-1.7871117795464906,0.07025395470530318,7,0.9272870415228097,1.178028339630655e-18,0.947078045794198,1.7459265362934568e-14,True,True,43.72083990053172,0.9826515823785338,False,True,False,True,True,False,0.0939047382964468
KO,PEP,0.7334077216405024,0.7334077216405024,0.41422591821931043,0.7069425792773061,-3.0043307361270672,0.109179670196826,-3.0043307361269944,0.0026268549137257254,12,0.0718105896320328,1.5561668432717502e-17,0.0025487992026624042,1.0662018051089363e-15,True,False,34.95915007590569,0.9826515823785338,False,True,False,True,False,False,0.08849537518514022
MSFT,PEP,0.5604757907607061,0.5604757907607061,-5.9947989265024795,2.361207150468989,-3.3098265368606854,0.05339959694489442,-3.3098265368606365,0.0009465457600438652,9,0.05788360559027793,1.3697415469249783e-19,0.0025487992026624042,1.0662018051089363e-15,True,False,30.42471309985776,0.9826515823785338,False,True,True,True,False,False,-0.038756124103440426
AAPL,QQQ,0.8513877407337627,0.8513877407337627,-4.268118955447407,1.584893712846253,-2.284382057274519,0.38137134692162744,-2.2843820572745073,0.021504069596078108,2,0.37337335061730603,1.1713471025288527e-17,0.43564462706013235,1.7553015329009843e-18,True,True,65.47809776636551,0.9826515823785338,False,True,False,True,True,False,-0.10248952556266822
KO,SPY,0.6545557521728985,0.6545557521728985,0.7483110095004095,0.5220995353952642,-2.2116569132883988,0.41836067165010166,-2.2116569132883934,0.02593343060625473,15,0.0718105896320328,1.5561668432717502e-17,0.14094458283109063,6.425006118841924e-17,True,True,55.53802139214262,0.9826515823785338,False,True,False,True,True,False,-0.20080662258333876
JPM,SPY,0.7544104165097918,0.7544104165097918,-0.37014013173375204,0.8764593322511507,-2.0991196517477952,0.4768273736334031,-2.0991196517476776,0.03432600244526535,5,0.4503907709767411,2.8105823543818374e-14,0.14094458283109063,6.425006118841924e-17,True,True,65.73232185443472,0.9826515823785338,False,True,False,True,True,False,-0.20457347723716857
AAPL,MSFT,0.7568322366490144,0.7568322366490144,-1.578112093678306,1.1651474608310606,-2.494312600673882,0.2815830871860105,-2.49431260067388,0.0121964688366076,10,0.37337335061730603,1.1713471025288527e-17,0.05788360559027793,1.3697415469249783e-19,True,True,67.69902142259531,0.9826515823785338,False,True,False,True,True,False,-0.21739274605782022
PEP,SPY,0.6778900371003989,0.6778900371003989,0.48712229892100645,0.7359789645600374,-2.0365340334241004,0.5095424412906122,-2.0365340334240876,0.03991738207394832,3,0.0025487992026624042,1.0662018051089363e-15,0.14094458283109063,6.425006118841924e-17,False,True,61.58188658784348,0.9826515823785338,False,True,False,True,False,False,-0.2407077799063857
PEP,QQQ,0.582612947705862,0.582612947705862,2.0383853097363467,0.48793837809731355,-2.131873530959972,0.45972156249718593,-2.131873530959971,0.03167390021864018,7,0.0025487992026624042,1.0662018051089363e-15,0.43564462706013235,1.7553015329009843e-18,False,True,54.340491004056936,0.9826515823785338,False,True,False,True,False,False,-0.2619222170919955
KO,MSFT,0.45423195839466907,0.45423195839466907,2.4320463871690423,0.2553027747472686,-2.6184371746769646,0.2294682214992273,-2.6184371746769495,0.008565081052607634,12,0.0718105896320328,1.5561668432717502e-17,0.05788360559027793,1.3697415469249783e-19,True,True,45.09814615311953,0.9826515823785338,False,True,False,True,True,False,-0.2932579940606078
