date,accept_signal,signal_direction,realized_holding_days,realized_gross_return,realized_net_return,label_exit_reason
2018-06-21,0,1.0,10,-3.849077617612551e-05,-0.0012384907761761254,horizon
2018-06-22,1,1.0,10,0.015873304127334897,0.014673304127334898,convergence
2018-06-25,1,1.0,9,0.019056736837751664,0.017856736837751665,convergence
2018-06-26,1,1.0,8,0.023533195712347244,0.022333195712347244,convergence
2018-06-27,1,1.0,7,0.034136823808003314,0.032936823808003314,convergence
2018-06-28,1,1.0,6,0.024013451538330344,0.022813451538330344,convergence
2018-06-29,1,1.0,5,0.025579557668882202,0.024379557668882203,convergence
2018-07-02,1,1.0,4,0.011748576800136412,0.010548576800136412,convergence
2018-08-13,0,1.0,10,-0.009321843258224938,-0.010521843258224937,horizon
2018-08-16,0,1.0,10,0.0017747023621463853,0.0005747023621463854,horizon
2018-08-17,0,1.0,10,0.005567761849377462,0.004367761849377462,horizon
2018-08-20,0,1.0,10,-0.0010732168551168542,-0.002273216855116854,horizon
2018-08-21,1,1.0,10,0.005798720904738985,0.004598720904738986,convergence
2018-09-19,1,-1.0,4,0.014536757058492,0.013336757058492,convergence
2018-09-20,1,-1.0,3,0.01409541592226482,0.01289541592226482,convergence
2018-09-21,1,-1.0,2,0.008071205111050972,0.006871205111050972,convergence
2018-10-11,1,-1.0,3,0.0086806677441853,0.0074806677441853,convergence
2018-10-12,1,-1.0,2,0.011036451477711928,0.009836451477711929,convergence
2018-10-15,1,-1.0,1,0.008196138516394669,0.006996138516394669,convergence
2018-10-16,0,-1.0,10,0.0029571523137414957,0.0017571523137414958,horizon
2018-10-22,1,1.0,7,0.0022361510100923354,0.0010361510100923355,convergence
2018-10-30,1,1.0,1,0.002286218561078357,0.001086218561078357,convergence
2018-11-07,0,-1.0,10,-0.008232467462853776,-0.009432467462853776,horizon
2018-11-08,0,-1.0,10,-0.014721994357061341,-0.01592199435706134,horizon
2018-11-12,0,-1.0,10,-0.0026539755110226437,-0.0038539755110226434,horizon
2018-11-13,0,-1.0,10,-0.007019632298028711,-0.00821963229802871,horizon
2018-11-14,0,-1.0,10,0.004682857570688093,0.003482857570688093,horizon
2018-11-15,0,-1.0,10,-0.005869423780632488,-0.0070694237806324875,horizon
2018-11-16,0,-1.0,10,-0.01768531343646984,-0.01888531343646984,horizon
2018-11-28,1,-1.0,10,0.004144081939937649,0.0029440819399376497,convergence
2018-11-30,1,-1.0,8,0.017565777819009476,0.016365777819009476,convergence
2018-12-03,1,-1.0,7,0.021507100096044063,0.020307100096044063,convergence
